,poly_1,poly_2,poly_3,poly_4,poly_5
1,-0.038624799,0.055908727,-0.071740579,0.086729854,-0.095229727
2,-0.029132603,0.026298066,-0.014549951,-0.00259928,0.018973247
3,0.004090082,-0.014506548,-0.000133184,0.014480093,-0.003709489
4,0.000926016,-0.014831404,0.004513668,0.012657507,-0.009554588
5,0.012000245,-0.009815846,-0.011136626,0.010211456,0.011858668
6,0.018328375,-0.002073906,-0.01662828,-0.001314381,0.016629103
7,0.002508049,-0.014779792,0.002213313,0.013810914,-0.006791668
8,-0.019640408,0.00466616,0.011744557,-0.019384708,0.011210326
9,-0.002238049,-0.014269732,0.00881354,0.009026958,-0.013661463
10,0.01516431,-0.00638814,-0.01443984,0.0051778,0.015654659
11,0.004090082,-0.014506548,-0.000133184,0.014480093,-0.003709489
12,-0.013312277,-0.005322468,0.016440837,-0.011344521,-0.006051373
13,-0.011730245,-0.007265545,0.016382939,-0.008357018,-0.009348597
14,-0.005402114,-0.012821531,0.012441599,0.003945038,-0.015250946
15,0.018328375,-0.002073906,-0.01662828,-0.001314381,0.016629103
16,0.013582277,-0.008212809,-0.012907277,0.007902769,0.014057349
17,-0.008566179,-0.010486802,0.015073009,-0.002073755,-0.013841738
18,0.012000245,-0.009815846,-0.011136626,0.010211456,0.011858668
19,0.021492441,0.003126856,-0.017377113,-0.008753189,0.014119626
20,-0.008566179,-0.010486802,0.015073009,-0.002073755,-0.013841738
21,-0.006984147,-0.011764983,0.013902187,0.001014426,-0.014936939
22,-0.003820081,-0.013656448,0.010731848,0.006638964,-0.014809091
23,0.05155106,0.096749704,0.109413564,0.065576476,-0.007052614
24,-0.003820081,-0.013656448,0.010731848,0.006638964,-0.014809091
25,-0.006984147,-0.011764983,0.013902187,0.001014426,-0.014936939
26,0.010418212,-0.01119725,-0.00916849,0.012064548,0.009178483
27,0.000926016,-0.014831404,0.004513668,0.012657507,-0.009554588
28,-0.013312277,-0.005322468,0.016440837,-0.011344521,-0.006051373
29,0.023074473,0.006059686,-0.017110166,-0.012624434,0.011441804
30,-0.038624799,0.055908727,-0.071740579,0.086729854,-0.095229727
31,0.019910408,0.000415659,-0.01720295,-0.004953618,0.015839109
32,0.013582277,-0.008212809,-0.012907277,0.007902769,0.014057349
33,-0.01489431,-0.003157759,0.016046552,-0.014074438,-0.002180521
34,-0.013312277,-0.005322468,0.016440837,-0.011344521,-0.006051373
35,-0.010148212,-0.00898699,0.015913461,-0.005230521,-0.011967832
36,0.021492441,0.003126856,-0.017377113,-0.008753189,0.014119626
37,0.043640897,0.064354989,0.044976103,-0.011170675,-0.060421538
38,-0.027550571,0.022138668,-0.008258827,-0.009152723,0.02226433
39,-0.016476342,-0.000771418,0.01515948,-0.016418307,0.002119499
40,-0.024386506,0.014484769,0.001911161,-0.017159925,0.021807822
41,-0.022804473,0.010990267,0.005871233,-0.019018645,0.019146944
42,-0.024386506,0.014484769,0.001911161,-0.017159925,0.021807822
43,0.000926016,-0.014831404,0.004513668,0.012657507,-0.009554588
44,0.012000245,-0.009815846,-0.011136626,0.010211456,0.011858668
45,-0.005402114,-0.012821531,0.012441599,0.003945038,-0.015250946
46,0.01516431,-0.00638814,-0.01443984,0.0051778,0.015654659
47,-0.011730245,-0.007265545,0.016382939,-0.008357018,-0.009348597
48,0.023074473,0.006059686,-0.017110166,-0.012624434,0.011441804
49,-0.027550571,0.022138668,-0.008258827,-0.009152723,0.02226433
50,-0.01489431,-0.003157759,0.016046552,-0.014074438,-0.002180521
51,0.023074473,0.006059686,-0.017110166,-0.012624434,0.011441804
52,0.04522293,0.070390668,0.055682039,-0.001209304,-0.058612787
53,0.000926016,-0.014831404,0.004513668,0.012657507,-0.009554588
54,-0.030714636,0.030679096,-0.0216993,0.005940481,0.012500658
55,-0.019640408,0.00466616,0.011744557,-0.019384708,0.011210326
56,-0.032296669,0.035281758,-0.02974748,0.016693714,0.002132398
57,0.026238538,0.012590241,-0.015090526,-0.020177957,0.003235839
58,-0.022804473,0.010990267,0.005871233,-0.019018645,0.019146944
59,0.029402604,0.020007324,-0.010819193,-0.026707524,-0.008406208
60,-0.013312277,-0.005322468,0.016440837,-0.011344521,-0.006051373
61,0.000926016,-0.014831404,0.004513668,0.012657507,-0.009554588
62,0.018328375,-0.002073906,-0.01662828,-0.001314381,0.016629103
63,0.042058865,0.058540942,0.035279737,-0.018926214,-0.05931864
64,-0.002238049,-0.014269732,0.00881354,0.009026958,-0.013661463
65,0.00883618,-0.012357023,-0.007043474,0.013432598,0.006145657
66,0.010418212,-0.01119725,-0.00916849,0.012064548,0.009178483
67,-0.000656016,-0.014661384,0.006727279,0.011049642,-0.011879832
68,-0.008566179,-0.010486802,0.015073009,-0.002073755,-0.013841738
69,0.019910408,0.000415659,-0.01720295,-0.004953618,0.015839109
70,-0.033878701,0.040106052,-0.038735093,0.029897441,-0.012919544
71,0.024656506,0.009214147,-0.016361505,-0.016468822,0.007804197
72,-0.018058375,0.001836555,0.013739016,-0.018237797,0.006661066
73,-0.027550571,0.022138668,-0.008258827,-0.009152723,0.02226433
74,-0.016476342,-0.000771418,0.01515948,-0.016418307,0.002119499
75,-0.003820081,-0.013656448,0.010731848,0.006638964,-0.014809091
76,0.002508049,-0.014779792,0.002213313,0.013810914,-0.006791668
77,0.027820571,0.016187967,-0.013256623,-0.02363357,-0.002200693
